epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,435.384,0.43156,2.19548,0.96405,0.61074,0.3,0.54045,0.50871,0.43097,2.762,0.95701,0.00049657,0.00049657,0.00049657
44,447.318,0.40284,2.25784,1.02202,0.61074,0.3,0.54045,0.50871,0.43097,2.762,0.95701,0.000499641,0.000499641,0.000499641
45,460.484,0.46427,2.32398,0.97978,0.61074,0.3,0.54045,0.50871,0.43097,2.762,0.95701,0.000502316,0.000502316,0.000502316
46,474.022,0.43227,2.20003,0.95974,0.63727,0.57906,0.56728,0.5424,0.40666,2.71171,0.94583,0.000504595,0.000504595,0.000504595
47,484.481,0.40784,2.14643,0.95937,0.63727,0.57906,0.56728,0.5424,0.40666,2.71171,0.94583,0.000506478,0.000506478,0.000506478
48,492.165,0.46077,2.2582,1.03228,0.63727,0.57906,0.56728,0.5424,0.40666,2.71171,0.94583,0.000507965,0.000507965,0.000507965
49,499.164,0.45057,2.20731,0.97675,0.63727,0.57906,0.56728,0.5424,0.40666,2.71171,0.94583,0.000509056,0.000509056,0.000509056
50,506.296,0.4932,2.15717,0.9711,0.56098,0.6,0.58373,0.5449,0.47007,2.65564,0.95526,0.000509751,0.000509751,0.000509751
51,514.16,0.43483,1.96534,0.97351,0.56098,0.6,0.58373,0.5449,0.47007,2.65564,0.95526,0.000505,0.000505,0.000505
52,524.837,0.51584,2.05968,1.05473,0.56098,0.6,0.58373,0.5449,0.47007,2.65564,0.95526,0.0004951,0.0004951,0.0004951
53,538.158,0.47034,2.17986,1.0827,0.56098,0.6,0.58373,0.5449,0.47007,2.65564,0.95526,0.0004852,0.0004852,0.0004852
54,551.15,0.39723,2.07032,0.96463,0.40804,0.67751,0.67138,0.62165,0.47545,2.5328,0.94344,0.0004753,0.0004753,0.0004753
55,562.01,0.49982,2.14778,0.96215,0.40804,0.67751,0.67138,0.62165,0.47545,2.5328,0.94344,0.0004654,0.0004654,0.0004654
56,572.416,0.37667,2.0877,1.05698,0.40804,0.67751,0.67138,0.62165,0.47545,2.5328,0.94344,0.0004555,0.0004555,0.0004555
57,582.587,0.48067,2.20892,0.94117,0.40804,0.67751,0.67138,0.62165,0.47545,2.5328,0.94344,0.0004456,0.0004456,0.0004456
58,593.463,0.36173,2.00635,0.95942,0.37566,0.65448,0.64995,0.57749,0.48093,2.43671,0.94595,0.0004357,0.0004357,0.0004357
59,603.639,0.37247,1.82153,0.96568,0.37566,0.65448,0.64995,0.57749,0.48093,2.43671,0.94595,0.0004258,0.0004258,0.0004258
60,613.673,0.37075,1.99684,0.88778,0.37566,0.65448,0.64995,0.57749,0.48093,2.43671,0.94595,0.0004159,0.0004159,0.0004159
61,625.945,0.37055,2.03768,0.99963,0.37566,0.65448,0.64995,0.57749,0.48093,2.43671,0.94595,0.000406,0.000406,0.000406
62,636.228,0.32297,1.75111,0.92747,0.37115,0.65334,0.6436,0.57178,0.46431,2.45795,0.94321,0.0003961,0.0003961,0.0003961
63,645.091,0.47828,1.92873,1.05649,0.37115,0.65334,0.6436,0.57178,0.46431,2.45795,0.94321,0.0003862,0.0003862,0.0003862
64,655.223,0.38655,1.76956,0.91239,0.37115,0.65334,0.6436,0.57178,0.46431,2.45795,0.94321,0.0003763,0.0003763,0.0003763
65,666.052,0.3212,1.85842,0.94399,0.37115,0.65334,0.6436,0.57178,0.46431,2.45795,0.94321,0.0003664,0.0003664,0.0003664
66,675.248,0.32275,1.88935,0.90817,0.3815,0.65508,0.64715,0.57746,0.44755,2.41614,0.93709,0.0003565,0.0003565,0.0003565
67,684.8,0.45038,1.96144,1.02744,0.3815,0.65508,0.64715,0.57746,0.44755,2.41614,0.93709,0.0003466,0.0003466,0.0003466
68,694.792,0.38785,1.92952,0.88187,0.3815,0.65508,0.64715,0.57746,0.44755,2.41614,0.93709,0.0003367,0.0003367,0.0003367
69,703.791,0.44741,1.78937,1.05802,0.3815,0.65508,0.64715,0.57746,0.44755,2.41614,0.93709,0.0003268,0.0003268,0.0003268
70,712.848,0.30297,1.89593,0.93439,0.4047,0.66952,0.6535,0.58317,0.43574,2.34823,0.93273,0.0003169,0.0003169,0.0003169
71,721.329,0.43789,1.69478,0.91982,0.4047,0.66952,0.6535,0.58317,0.43574,2.34823,0.93273,0.000307,0.000307,0.000307
72,729.963,0.39213,1.67439,0.95401,0.4047,0.66952,0.6535,0.58317,0.43574,2.34823,0.93273,0.0002971,0.0002971,0.0002971
73,738.555,0.41348,1.69556,1.00927,0.4047,0.66952,0.6535,0.58317,0.43574,2.34823,0.93273,0.0002872,0.0002872,0.0002872
74,747.299,0.38024,1.7743,0.94642,0.41369,0.67292,0.66967,0.59771,0.44313,2.30949,0.93604,0.0002773,0.0002773,0.0002773
75,755.783,0.3652,1.69735,0.93876,0.41369,0.67292,0.66967,0.59771,0.44313,2.30949,0.93604,0.0002674,0.0002674,0.0002674
76,765.588,0.34268,1.70562,0.89435,0.41369,0.67292,0.66967,0.59771,0.44313,2.30949,0.93604,0.0002575,0.0002575,0.0002575
77,774.143,0.38647,1.74224,0.85722,0.41369,0.67292,0.66967,0.59771,0.44313,2.30949,0.93604,0.0002476,0.0002476,0.0002476
78,783.163,0.3889,1.67469,0.88463,0.41549,0.66326,0.66967,0.59771,0.4415,2.28323,0.92833,0.0002377,0.0002377,0.0002377
79,791.412,0.31992,1.54506,0.85238,0.41549,0.66326,0.66967,0.59771,0.4415,2.28323,0.92833,0.0002278,0.0002278,0.0002278
80,799.651,0.39403,1.57678,0.97888,0.41549,0.66326,0.66967,0.59771,0.4415,2.28323,0.92833,0.0002179,0.0002179,0.0002179
81,808.85,0.33928,1.57978,0.94913,0.41549,0.66326,0.66967,0.59771,0.4415,2.28323,0.92833,0.000208,0.000208,0.000208
82,817.69,0.36831,1.60727,1.07405,0.41727,0.65734,0.66967,0.60766,0.43245,2.19958,0.92043,0.0001981,0.0001981,0.0001981
83,826.776,0.33716,1.84291,0.89469,0.41727,0.65734,0.66967,0.60766,0.43245,2.19958,0.92043,0.0001882,0.0001882,0.0001882
84,835.441,0.33923,1.674,0.90856,0.41727,0.65734,0.66967,0.60766,0.43245,2.19958,0.92043,0.0001783,0.0001783,0.0001783
85,844.194,0.29993,1.65903,0.90392,0.41727,0.65734,0.66967,0.60766,0.43245,2.19958,0.92043,0.0001684,0.0001684,0.0001684
86,852.792,0.33558,1.69777,0.88043,0.39411,0.70338,0.67493,0.61239,0.42868,2.13448,0.91882,0.0001585,0.0001585,0.0001585
87,861.179,0.31142,1.6095,0.9363,0.39411,0.70338,0.67493,0.61239,0.42868,2.13448,0.91882,0.0001486,0.0001486,0.0001486
88,869.485,0.34691,1.50299,0.89389,0.39411,0.70338,0.67493,0.61239,0.42868,2.13448,0.91882,0.0001387,0.0001387,0.0001387
89,878.334,0.38819,1.64544,0.94862,0.39411,0.70338,0.67493,0.61239,0.42868,2.13448,0.91882,0.0001288,0.0001288,0.0001288
90,888.338,0.29771,1.5784,0.92986,0.4131,0.75914,0.67493,0.61239,0.43343,2.07927,0.94261,0.0001189,0.0001189,0.0001189
91,897.976,0.34934,2.54723,1.01244,0.4131,0.75914,0.67493,0.61239,0.43343,2.07927,0.94261,0.000109,0.000109,0.000109
92,908.325,0.33288,1.68829,0.91974,0.4131,0.75914,0.67493,0.61239,0.43343,2.07927,0.94261,9.91e-05,9.91e-05,9.91e-05
93,917.908,0.30755,1.85038,0.96402,0.4131,0.75914,0.67493,0.61239,0.43343,2.07927,0.94261,8.92e-05,8.92e-05,8.92e-05
94,927.847,0.35325,1.69158,0.98745,0.39585,0.75367,0.69633,0.63163,0.42,2.07727,0.90738,7.93e-05,7.93e-05,7.93e-05
95,942.691,0.28607,1.79024,0.89194,0.39585,0.75367,0.69633,0.63163,0.42,2.07727,0.90738,6.94e-05,6.94e-05,6.94e-05
94,14.4154,0.38005,1.88028,1.15791,0.40798,0.76534,0.67493,0.61239,0.42973,2.05568,0.93028,7.93e-05,7.93e-05,7.93e-05
96,956.778,0.29819,2.02838,0.92892,0.39585,0.75367,0.69633,0.63163,0.42,2.07727,0.90738,5.95e-05,5.95e-05,5.95e-05
